original_sha	first_rewrite_sha	remediation_sha	composition
011fb980f38379d59a9a5ee09d262cf72d763bf6	cdbfd3765c573fdc60b8525f55f13f926cc1a85c	5fe9ff634450a58cc719b2b40511b0cee59bef50	composed-original-first-remediation
01dc9b7dca0d0c863a01016a20e4cd5eef3730eb	06f3d2036ccd96f1ddf0a8c21cf3aee37edd2746	938cfcd8756f24cc3a168d54d8076f7ec7538978	composed-original-first-remediation
03ecf649301d48c7ebd3579acd868091bfa63974	7e88e771c5650fc1496df021127af7a599c8ccfa	ef9975b6946cddabdf498dd1c40ec5e4007df768	composed-original-first-remediation
061249e19bb665df0a8fb2aa377bc197c23a48c8	18395f9b4bb18f583087c535dd23fa2bd95632e9	b5ed67d3c56fdc031c62828ccbf1299a4043cd27	direct-original-second-snapshot-github-managed-ref
064e35842e4efe3504fef2ca868ec07769d219fd	c1a208a06664838bf26cfa8c39db61a138cb16f1	eeeb8b2ef5c2a079d82c01affc04dc6e6e0fe418	composed-original-first-remediation
06858e96970a22be88519cfe6bf3ca9b038d1f06	541196cc56442b812ab565a1b334805760dfb5ae	f604556ab5d02af5f67d507cb23693c3d2197026	direct-original-second-snapshot-github-managed-ref
06ee0bf10dd0fba5a2c211b8f15b7aaaffc90b64	85dd2678570d9aa8d8bc9b26e89f30e8dbaa2da1	77b4d8c8b70f4c22bd6914a37203515e3595fdac	direct-original-second-snapshot-github-managed-ref
0715043d8b0f452ef97b3f1d7cf76255939698c0	839611f20cf8780b6ceeeef38a3df09a9143f151	330edf27d0e858060b4dfe542e7ac544ce618daf	direct-original-second-snapshot-github-managed-ref
0719397f161ee90f46c05b1d2acecdd648f9966e	0a5199e46bd25cef53f16a7baeec35f0ad244cdf	b7254d6a27fff234db25ccdddf17506a571066e6	direct-original-second-snapshot-github-managed-ref
073b62344f713a8f51cfa18630de770b920d4dfd	073b62344f713a8f51cfa18630de770b920d4dfd	a7b03efb5c2a83f7a6491a5911107416434eeeb0	composed-original-first-remediation
07e57fca614014bd577b0ccbb3a504b032f47320	898d3c2896d104cb52e44765387f8b6f65faabea	14adb548f255429076ee72868ced873cbc502229	direct-original-second-snapshot-github-managed-ref
09f48e7834cf681e6f08916afbb2890f81bfd0a0	2bfcb7d87ef4dd7b7a816d08082b51d8ec9a9998	b0101c036ba4ec63389c8554ff92f4248c900fe6	composed-original-first-remediation
0c4b58429597cec65adc0292c8cfdf6a3a2e211a	413b565fa7625c7abaa250271b8eb8b8eb4c39d9	cdd46ad6e91c0415c04d14ad06769fffb87a5121	direct-original-second-snapshot-github-managed-ref
0f8125227886a5122e2cd4de8691c4ff3c1ba630	562cd5ec94c81361a9881af2b77850c5c3179a5a	23bc16be712b1b0926096a33a6cb175d4c42570d	direct-original-second-snapshot-github-managed-ref
0fb2d3896a7c8cb4ee344886dbb0c157184fd365	18d68c0a80929d69ef5adb556565ea38e5502aa2	935995b2bdb881d7327e40ec69c38ac6bef67b18	direct-original-second-snapshot-github-managed-ref
1129058e8da307741835128051a5620f70dda5d5	1d6f45d8ed07df7bb3982130efb86d661897f0bb	ba55bc442b6ae04861b89695ac9f77fd73381566	direct-original-second-snapshot-github-managed-ref
147c7f69fe48d5c997301cc3ed635ecf1102920e	b57b086c5ba657ce08e7ff0b03b6a74b8b583876	3f3364bdf350856986db82e76a46f3ae175d0e67	direct-original-second-snapshot-github-managed-ref
14c021c5d131bbd6fc451bc9114e2d1cc6c61247	e728bda03ad8be9feae90173d3b585264f093849	94db2ff5e4f16c443d363adf81660bfb68fef8e2	direct-original-second-snapshot-github-managed-ref
16ef1487d399f7e98881c1ed552bbd6869b14da4	c6379c15feb436d67b2e6cd25670d7d2fed7de75	dae5565cd5f3a9b69ab05f3417a2a99974aa400e	direct-original-second-snapshot-github-managed-ref
1835c0eacbcabed366b8f3272d0d0582bc4ae56a	50e9132dd2f267095f07eb12379ee8c84b0befbc	f9bc6def1ac857df2b831da91e1e3c6cfc27e29e	direct-original-second-snapshot-github-managed-ref
19a5b646734c6b6a49d07512924d68beede0e295	a6a6572b3ecf626227dec8ba815494d20229193f	aeecb2e3803ba69b3d149fdfbcb9553240f58ffd	direct-original-second-snapshot-github-managed-ref
1a9f5c8adf66889946c39005ca61f4820a57fcbf	c24e6501f780f1852666ac4065851db5c41287bf	50c37d3e9509d78b4f50ad9d9db77000ac8c4b57	direct-original-second-snapshot-github-managed-ref
1d24e2422c2ece76ea25566c7ffd8c1adcd02c0a	337cfe5939b5925c78a23cffefd6cac6e98279f4	2e4eeca0d221b71f7fbe98c6da3f7424761dfa5e	direct-original-second-snapshot-github-managed-ref
1fafc4c048b32a1fc42f127e4076b6c2ba3a036d	b854c85db593faaac90d13fb005ec6987b9b7191	db4779fbe55d018d386101adba6f503daf66e491	composed-original-first-remediation
205c06df342e24ac93493c2508b738fbcfbf15c9	a7e658ec92dbd094c93978f7b050716e27548490	00fd0f3ab345c14b77972ecbdc3883ccdead7030	composed-original-first-remediation
21476cb4773b3b9efe03ede43818c384c6d9ade3	1003b63125f45eb0e9d1d1d506c34efb40b8828c	2c8e0e0c794f5aaf00b74f7b16cfcc07abbc474d	direct-original-second-snapshot-github-managed-ref
22d853b265a2c288e22dc60a987ca57cb65e1191	70df54b249b227dcdadd0c499febaf9f2388f957	e313369b70dc9c40bf102e409461771e5f357910	composed-original-first-remediation
2620dfa0d7801ddad2ac34a69402d8a2068a2364	432849208f0d858ce8fb5cf9ea090c08754a9868	fd871989b0e10b9390031b127b4b3131f7914248	composed-original-first-remediation
27b1213e01c2fd9c70d7df2044cac4855ab636af	27b1213e01c2fd9c70d7df2044cac4855ab636af	572a77a1ee64e49d3b688975c091f8a3dc4bc9e0	composed-original-first-remediation
2a57fd855a3686d01aae714c12db3333e7ce0857	3afe263a3f1b0476ba4df2cb4b60fa76168717cd	bdf3c5701ccbdcd7f1129ece0af91928713cbd67	direct-original-second-snapshot-github-managed-ref
2b8c8ed05d5070f244031eaeb9e52eb1fc1a07b9	aeda3663e6b21a50c7dae9c16edb54d1200259e2	58a3f40418c5ba379339ba1269022aec85c3e742	direct-original-second-snapshot-github-managed-ref
2e59e0bed42ad1b2f51c0c9dc918d8ac0f288747	3f2ef740d4a26671bd141b4b09cb660ebbe587c2	1ff2ad1b1d0014bb3d6799509d6d1d1a25701473	direct-original-second-snapshot-github-managed-ref
312705348dcf22d668abcbe2edc2df94021ce43e	9cc0163fe4a2366c01e886a26fefdde9c56ac407	b8fa64b517876aa5276eb4270cd5a2fd895808c6	composed-original-first-remediation
313319b8a771a6390fec9c5908486e181221e7d3	17327af8603ed7954e1491dde9a9190f294412f5	a144a955042ceaf28e41e66bbbe4cac194437616	composed-original-first-remediation
33e9557d25666d7552d27fe325e39c399bc85c13	643e840086f183e95a5ffd488ffd7eb59bf36aaa	17da0c7a853ebe5d412d971f79aaf4cfc3fc4eb5	composed-original-first-remediation
34e244bf4f95c0cbfa5b7451f5f12d20aa8891e5	cc1152196b2a9c1e3407e6f8962bbf42c79935ed	caa386a1eaadb9f40cc0915fdaf84fc1b512a98d	composed-original-first-remediation
34e35dba7d52dcb43b56cc8eb42f34ac9ec20df9	41d1b2dd7947f120c830f6d8588da683055133aa	ccf5fdb66a0621927a87e55c0388227441c6d576	direct-original-second-snapshot-github-managed-ref
34eadc9a2587fbe20f13b407896360b709c8ca36	03d128bda6b14c269a55838642c4a481e7d71eed	577626ae034588aecf7145eb21a98bc97ffef20c	direct-original-second-snapshot-github-managed-ref
35a3626103ef07aa693c535a9602aac1b8660d3b	2649d087e076c2133b843354975e23542d165b54	3ca12cbb8bdaf8de2dfee115dd0d545cdb2c77a7	direct-original-second-snapshot-github-managed-ref
